"PLU","CATEGORY","COMMODITY","VARIETY","SIZE","MEASUREMENTS: NORTH AMERICA","MEASUREMENTS: REST OF WORLD","RESTRICTIONS / NOTES","BOTANICAL NAME","AKA","NOTES","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE","","",""
"3035","Fruits","NECTARINE","White Flesh, Tree Ripened, Ready-to-eat","Large","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3036","Fruits","ORANGES","Midknight","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","Citrus spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3037","Fruits","PINEAPPLE","Queen","All Sizes","","","Sizes for pineapple based on two-layer lug.","Ananas comosus","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3038","Fruits","PASSION FRUIT","Granadilla, Orange","All Sizes","","","","Passiflorae.var. flavicarpa","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3039","Fruits","PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY","","All Sizes","","","","Physalis spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3039-cape-gooseberry_1630596655.jpg","","","",""
"3040","Fruits","PITAHAYA","Red (skin color)","All Sizes","","","","Hylocereus lindatus","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3040-pitaya-dragon-fruit-01_1614282658.jpg","","","",""
"3041","Fruits","RAMBUTAN","","All Sizes","","","","Nephelium lappaceum","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3041-rambutan-02_1614283029.jpg","","","",""
"3042","Fruits","MANGOSTEEN","","All Sizes","","","","Garcinia mangostana","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3042-mangosteen-01_1614619394.jpg","","","",""
"3043","Fruits","GRAPES","Italia, Seeded","All Sizes","","","","Vitis vinifera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3044","Fruits","APRICOTS","Black Velvet"," All Sizes ","","","","Prunus armeniaca","","","2021-03-01 17:34:55","2006-11-15 00:00:00"," ","http://check.ifpsglobal.com/file/view/3044-apricots-black-velvet-03_1614619576.jpg","","","",""
"3045","Fruits","DATES","Fresh, On Branch","All Sizes","","","","Phoenix dactylifera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3046","Fruits","DATES","Fresh, Frozen","All Sizes","","","","Phoenix dactylifera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3047","Fruits","DATES","Medjool","All Sizes","","","","Phoenix dactylifera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3048","Vegetables","BEANS","Helda/Flat","All Sizes","","","","Phaseolus vulgaris","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3049","Vegetables","BEANS","Fine","All Sizes","","","","Phaseolus vulgaris","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
