"PLU","CATEGORY","COMMODITY","VARIETY","SIZE","MEASUREMENTS: NORTH AMERICA","MEASUREMENTS: REST OF WORLD","RESTRICTIONS / NOTES","BOTANICAL NAME","AKA","NOTES","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE","","",""
"3295","Fruits","APPLES","Sciearly"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","Pacific Beauty","","2021-02-26 15:05:33","2002-10-16 00:00:00"," ","","","","",""
"3296","Fruits","APPLES","Sciearly"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","Pacific Beauty","","2021-02-26 15:06:06","2002-10-16 00:00:00"," ","","","","",""
"3297","Fruits","APPLES","Scired"," All Sizes ","","","","Malus domestica","Pacific Queen","","2021-02-26 15:06:34","2002-10-16 00:00:00"," ","","","","",""
"3298","Fruits","APPLES","Redfield","All Sizes    ","","","","Malus domestica","Mahana Red","","2019-01-24 10:24:20","2012-12-21 00:00:00"," ","http://check.ifpsglobal.com/file/view/3298-redfield-apple_1460404707.jpg","","","",""
"3299","Fruits","APPLES","Sonya"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","","2021-02-26 15:06:57","2002-10-16 00:00:00"," ","","","","",""
"3300","Fruits","APPLES","Sonya"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","","2021-02-26 15:08:47","2002-10-16 00:00:00"," ","","","","",""
"3301","Fruits","APPLES","Cripps Red"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","Sundowner","","2021-02-26 15:09:22","2002-10-16 00:00:00"," ","","","","",""
"3302","Fruits","APRICOTS","Regular","Large","Greater than or equal to 2-3/16 inch, Greater than or equal to 55 mm Average Fruit Dimensions","","","Prunus armeniaca","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3302-apricots-1_1614718940.jpg","","","",""
"3303","Fruits","BABACO","","All Sizes","","","","","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3303-babacoa_1614719281.JPG","","","",""
"3304","Fruits","BERRIES","Loganberries","All Sizes","","","","Rubus loganobaccus","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3305","Fruits","CURRANTS","Black","All Sizes","","","","Ribes nigrum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3306","Fruits","MELON","Charentais","Medium","","","","Cucumis melo","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3307","Fruits","MELON","Charentais","Extra Large","","","","Cucumis melo","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3308","Fruits","MELON","Watermelon - Orange, Seedless","All Sizes","","","","Citrullus lanatus","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3309","Fruits","ORANGES","Lima","All Sizes","","","","Citrus spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3310","Fruits","ORANGES","Pera","All Sizes","","","","Citrus spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3311","Fruits","PASSION FRUIT","Curuba/Banana","All Sizes","","","","Passiflora mollissima","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3311-passion-fruit-02_1614719436.jpg","","","",""
"3312","Fruits","PASSION FRUIT","Granadilla - Yellow/Maracuja","All Sizes","","","","Passiflorae.var. flavicarpa","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3312-passion-fruit-yellow-03_1614719777.jpg","","","",""
"3313","Fruits","PEACHES","White Flesh - Tree Ripened/ Ready-to-eat"," Small ","","","","Prunus persica","","","2021-02-26 18:47:13","2002-10-16 00:00:00"," ","","","","",""
"3314","Fruits","PEACHES","White Flesh - Tree Ripened/ Ready-to-eat"," Large ","","","","Prunus persica","","","2021-02-26 18:47:39","2002-10-16 00:00:00"," ","","","","",""
"3315","Fruits","APPLES","Scilate","Small","100 size and smaller","","","Malus domestica","ENVY","","2016-04-11 19:43:50","2013-05-06 00:00:00"," ","http://check.ifpsglobal.com/file/view/3615-civni-apple_1460403826.jpg","","","",""
"3316","Fruits","PEARS","Carmen","All Sizes","","","","Pyrus spp.","","","2016-04-11 19:36:37","2013-05-06 00:00:00"," ","http://check.ifpsglobal.com/file/view/3316-carmen-pear_1460403392.jpg","","","",""
"3317","Fruits","PEARS","Angelys","All Sizes ","","","","Pyrus spp.","","","2018-10-08 15:12:33","2013-08-21 00:00:00"," ","http://check.ifpsglobal.com/file/view/3317-angelys-pear_1460402454.jpg","","","",""
"3318","Fruits","PEARS","Passe Crassane","Large","100 size and larger","Average Fruit Weight = 180g and above","","Pyrus spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3319","Fruits","PITAHAYA","Yellow (skin color)","All Sizes","","","","Hylocereus lindatus","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3320","Vegetables","CAULIFLOWER","Romanesco/Broccoflower/Caulibroc","All Sizes","","","","Brassica oleracea","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3321","Vegetables","CELERY ROOT/CELERIAC","With leaves attached","All Sizes","","","","Apium graveolens","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3321-celery-root-03_1614720213.jpg","","","",""
"3322","Vegetables","CHOY SUM/PAK CHOI SUM","","All Sizes","","","","Brassica rapa","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3322-choy-sum-pak-choi-sum_1630597485.jpg","","","",""
"3323","Vegetables","CHOY SUM/PAK CHOI SUM","Baby","All Sizes","","","","Brassica rapa","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3324","Vegetables","ESCAROLE/BATAVIAN CHICORY","Red","All Sizes ","","","","Cichorium endivia","","","2018-10-08 15:13:33","2002-10-16 00:00:00"," ","","","","",""
"3325","Vegetables","LETTUCE","Lollo Bionda/Coral - Green","All Sizes ","","","","Lactuca sativa","","","2018-10-08 15:14:15","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3325-lettuce-green-leaf_1614720490.jpg","","","",""
"3326","Vegetables","LETTUCE","Lollo Rossa/Coral - Red","All Sizes ","","","","Lactuca sativa","","","2018-10-08 15:15:17","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3326-lettuce-lolla-rosa_1614720653.jpg","","","",""
"3327","Vegetables","LETTUCE","Mignonette (Compact red-tinged butterhead varieties)","All Sizes","","","","Lactuca sativa","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3328","Vegetables","LETTUCE","Mixed small-leaf salad (eg Sucrine, Mesclun, Rocket/Arugula)","All Sizes ","","","","Lactuca sativa","","","2018-10-08 15:16:04","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3328-lettuce-spring-mix-07_1614720879.jpg","","","",""
"3329","Vegetables","LETTUCE","Oak Leaf - Green","All Sizes ","","","","Lactuca sativa","","","2018-10-08 15:16:49","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3329-lettuce-green-oak_1614721016.jpg","","","",""
"3330","Vegetables","LETTUCE","Oak Leaf - Reg","All Sizes ","","","","Lactuca sativa","","","2018-10-08 15:17:44","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3330-lettuce-red-oak_1614721194.jpg","","","",""
"3331","Vegetables","ONIONS","Red Fresh - Bunch","All Sizes","","","","Allium spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3332","Vegetables","SPINACH","Baby","All Sizes","","","","Spinach oleracea","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3332-spinach-baby-01_1614722224.jpg","","","",""
"3333","Vegetables","SWEET POTATO/YAM/KUMARA","Red/Orangy White Flesh","Small","","","","Ipomoea batato","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3334-yams-03-1616185216_1633374338.jpg","","","",""
"3334","Vegetables","SWEET POTATO/YAM/KUMARA","Red/Orangy White Flesh","Large","","","","Ipomoea batato","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3334-yams-03_1616185216.jpg","","","",""
"3335","Vegetables","TOMATOES","Cocktail/Intermediate - Red/On the Vine (Truss)","All Sizes","","","","Lycopersicon esculenta","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3336","Vegetables","TOMATOES","Cocktail/Intermediate - Red/Plum/Italian/Saladette/Roma/On the Vine (Truss)","All Sizes","","","","Lycopersicon esculenta","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3337","Dried Fruits","FIGS","(Dried Fruit)","All Sizes","","","","Ficus carica","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3338","Herbs","ANISE","","All Sizes","","","","","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3338-anise_1630597554.jpg","","","",""
"3339","Fruits","APPLES","Belchard - Chantecler"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:10:06","2004-11-01 00:00:00"," ","","","","",""
"3340","Fruits","APPLES","Bertanne/Golden Russet"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:10:42","2004-11-01 00:00:00"," ","","","","",""
"3341","Fruits","APPLES","Charles Ross"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:11:13","2004-11-01 00:00:00"," ","","","","",""
"3342","Fruits","APPLES","Delblush"," All Sizes  ","","","","Malus domestica","Tentation","","2021-02-26 15:12:01","2004-11-01 00:00:00"," ","","","","",""
"3343","Fruits","APPLES","Dessert"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:12:32","2004-11-01 00:00:00"," ","","","","",""
"3344","Fruits","APPLES","Gloster"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","","2021-02-26 15:12:59","2004-11-01 00:00:00"," ","","","","",""
"3345","Fruits","APPLES","Gloster"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","","2021-02-26 15:13:47","2004-11-01 00:00:00"," ","","","","",""
"3346","Fruits","APPLES","Holstein"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:14:13","2004-11-01 00:00:00"," ","","","","",""
"3347","Fruits","APPLES","Laxtons Fortune"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:14:41","2004-11-01 00:00:00"," ","","","","",""
"3348","Fruits","APPLES","Lord Lambourne"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:15:12","2004-11-01 00:00:00"," ","","","","",""
"3349","Fruits","APPLES","Michaelmas Red"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:16:15","2004-11-01 00:00:00"," ","","","","",""
"3350","Fruits","APPLES","Reine des Reinettes/King of the Pippins"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","","2021-02-26 15:16:45","2004-11-01 00:00:00"," ","","","","",""
"3351","Fruits","APPLES","Reine des Reinettes/King of the Pippins"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","","2021-02-26 15:17:14","2004-11-01 00:00:00"," ","","","","",""
"3352","Fruits","APPLES","Reinettes and Heritage varieties - (incl Canada blanc Reinette du Mans, Armorique/du Vigan/Calville"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:17:46","2004-11-01 00:00:00"," ","","","","",""
"3353","Fruits","APPLES","St Edmunds Pippin"," All Sizes ","","","","Malus domestica","","","2021-02-26 15:18:13","2004-11-01 00:00:00"," ","","","","",""
"3354","Fruits","AVOCADOS","Ripe/Ready-to-Eat","All Sizes ","","","Restricted from ANY use in Canada or the U.S.","Persea americana","","","2018-10-08 15:22:25","2002-10-16 00:00:00"," ","","","","",""
"3355","Fruits","BERRIES","Strawberries - Nominal 500g/1 litre","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Fragaria ananassa","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/4028-berries-strawberries-06-1625013614_1633445260.jpg","","","",""
"3356","Fruits","BERRIES","Strawberries - Nominal250g/1/2 litre","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Fragaria ananassa","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/4028-berries-strawberries-06-1625013614_1633445451.jpg","","","",""
"3357","Fruits","CHERRIES","Regular/Red/Black","Small","","","Restricted from ANY use in Canada or the U.S.","Prunus spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/4045-cherries-05-1625061853_1633445797.jpg","","","",""
"3358","Fruits","CHERRIES","Regular/Red/Black","Large","","","Restricted from ANY use in Canada or the U.S.","Prunus spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/4045-cherries-05-1625061853_1633445912.jpg","","","",""
"3359","Fruits","GRAPES","Chasselas","All Sizes","","","","Vitis vinifera","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3360","Fruits","GRAPES","Muscat de Hambourg","All Sizes","","","","Vitis vinifera","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","http://check.ifpsglobal.com/file/view/3360-grapes-muscat-01_1616185386.jpg","","","",""
"3361","Fruits","GRAPEFRUIT","Without p/harvest treatment","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus paradisi","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3362","Fruits","LEMONS","Without postharvest treatment","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus limon","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3363","Fruits","MANGO","Kensington Pride"," All Sizes ","","","","Mangifera indica","Bowen","","2021-08-26 20:50:38","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3363-kensington-mango_1629912151.jpg","Source: Hort Innovation/Australian Mangoes","","",""
"3364","Fruits","MANGO","R2E2","   All Sizes   ","","","","Mangifera indica","","","2021-09-14 20:27:34","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3364-r2e2-mango_1629912473.jpg","Source: Hort Innovation/Australian Mangoes","","",""
"3365","Fruits","MANGO","Ripe/Ready-to-Eat","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Mangifera indica","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3366","Fruits","MADROÑA","","All Sizes","","","","Arbutus unedo","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3367","Fruits","MELON","Glasshouse - Netted varieties","All Sizes ","","","Restricted from ANY use in Canada or the U.S.","Cucumis melo","","","2018-10-08 15:23:33","2002-10-16 00:00:00"," ","","","","",""
"3368","Fruits","MELON","Ogen","All Sizes","","","","Cucumis melo","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3369","Fruits","NECTARINE","Nectavigne (Red Flesh)","All Sizes","","","","Prunus persica","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3370","Fruits","ORANGES","Maltaise","All Sizes","","","","Citrus spp.","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3371","Fruits","ORANGES","Salustiana","All Sizes","","","","Citrus spp.","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3372","Fruits","ORANGES","Navelate (and other late Navel varieties)","All Sizes","","","","Citrus spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3373","Fruits","ORANGES","Navelina (incl. Newhall)","All Sizes","","","","Citrus spp.","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3374","Fruits","ORANGES","Without postharvest treatment","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3375","Fruits","PEACHES","de Vigne & Sanguine (Red Flesh)"," All Sizes ","","","","Prunus persica","","","2021-02-26 18:48:04","2004-11-01 00:00:00"," ","","","","",""
"3376","Fruits","PEARS","Alexander Lucas","All Sizes","","","","Pyrus spp.","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3377","Fruits","PEARS","Louise Bonne","All Sizes","","","","Pyrus spp.","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3378","Fruits","PEARS","Santa Maria","All Sizes","","","","Pyrus spp.","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3379","Fruits","PINEAPPLE","Mini","All Sizes","","","Sizes for pineapple based on two-layer lug.","Ananas comosus","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3380","Fruits","PINEAPPLE","Perola","All Sizes","","","Sizes for pineapple based on two-layer lug.","Ananas comosus","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3381","Fruits","SOURSOP","","All Sizes","","","","Annona muricata","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3382","Fruits","SUGAR APPLE","","All Sizes","","","","Annona squamosa","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3383","Fruits","TANGERINES/MANDARINS","Clementine","Small","","","Restricted from ANY use in Canada or the U.S.","Citrus reticulata","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3384","Fruits","TANGERINES/MANDARINS","Clementine","Medium","","","Restricted from ANY use in Canada or the U.S.","Citrus reticulata","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3385","Fruits","TANGERINES/MANDARINS","Clementine","Large","","","Restricted from ANY use in Canada or the U.S.","Citrus reticulata","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3386","Fruits","TANGERINES/MANDARINS","Clementine (With leaves attached)","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus reticulata","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3387","Fruits","TANGERINES/MANDARINS","Clementine (Without p/harvest treatment)","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus reticulata","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3388","Fruits","TANGERINES/MANDARINS","Satsuma -Clauselina","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus unshiu","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3389","Fruits","TANGERINES/MANDARINS","Satsuma","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Citrus unshiu","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3029-tangerines-satsumas-1-1614282365_1633455177.jpg","","","",""
"3390","Vegetables","ARRACACH","","All Sizes ","","","","Arracacia xanthorrhiza","","","2018-10-08 15:24:17","2002-10-16 00:00:00"," ","","","","",""
"3391","Vegetables","ARTICHOKES","Rouge Salambo (Red)","All Sizes ","","","","Cynara scolymus","","","2018-10-08 15:25:04","2004-11-01 00:00:00"," ","","","","",""
"3392","Vegetables","ASPARAGUS","Green - Bunch","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Asparagus officinalis","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/asparagus-green-bunch_1629314437.png","","","",""
"3393","Vegetables","ASPARAGUS","White - Bunch","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Asparagus officinalis","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/4523-asparagus-white-02-1625671601_1632939562.jpg","","","",""
"3394","Vegetables","ASPARAGUS","Purple - Bunch","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Asparagus officinalis","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3395","Vegetables","BELGIAN ENDIVE (WITLOOF CHICORY)","Red","All Sizes","","","","Cichorium intybus","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3396","Vegetables","CABBAGE","Savoy, Red","All Sizes","","","","Brassica oleracea","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3397","Vegetables","CABBAGE","Summer Cabbage - Pointed type","All Sizes","","","","Brassica oleracea","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3398","Vegetables","CHICKPEAS","Chickpeas/Garbanzo","All Sizes","","","","Cicer arientinum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3399","Vegetables","GARLIC","Regular - Fresh/Semi-dried with leaves attached","All Sizes","","","","Allium sativum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3400","Vegetables","GARLIC","Regular - Smoked","All Sizes","","","","Allium sativum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3401","Vegetables","GARLIC","One-clove types","All Sizes","","","","Allium sativum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3402","Vegetables","LEEKS","Regular - Bunch","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Allium ampeloprasum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3403","Vegetables","LEEKS","Baby - Bunch","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Allium ampeloprasum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3404","Vegetables","MUSHROOMS","Cep","All Sizes","","","","Bolelus edulis","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3405","Vegetables","MUSHROOMS","Fairy Ring Champignon","All Sizes","","","","Marasmius oreades","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3406","Vegetables","MUSHROOMS","Grey - Tricholoma","All Sizes","","","","Tricholoma terreum","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3407","Vegetables","MUSHROOMS","Grisette","All Sizes","","","","Amanita vaginata","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3408","Vegetables","MUSHROOMS","Horn of Plenty/Black Trumpet","All Sizes","","","","Agaricus bisporus","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3409","Vegetables","MUSHROOMS","Pioppino","All Sizes","","","","Agaricus bisporus","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3410","Vegetables","MUSHROOMS","Saffron Milk-Cap","All Sizes","","","","Lactarius deliciosus","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3411","Vegetables","MUSHROOMS","Sheep Polypore","All Sizes","","","","Albatrellus ovinus (tbc)","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3412","Vegetables","ONIONS","Yellow/Brown Fresh - Bunch","All Sizes","","","","Allium spp.","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3413","Vegetables","PEPPERS (CAPSICUMS)","Tabasco","All Sizes","","","","Capsicum spp","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3414","Vegetables","POTATO","Baking - White","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Solanum tuberosum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","http://check.ifpsglobal.com/file/view/3414-baking-potato-white_1635179333.jpg","","","",""
"3415","Vegetables","POTATO","Baking - Red and Red Eye varieties","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Solanum tuberosum","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3416","Vegetables","RHUBARB","Bunch"," All Sizes ","","","Restricted from ANY use in Canada or the U.S.","Rheum x rhabarbarum","","","2021-02-26 20:38:09","2004-11-01 00:00:00"," ","","","","",""
"3417","Vegetables","SPINACH","New Zealand Spinach","All Sizes","","","Restricted from ANY use in Canada or the U.S.","Tetragonia tetragonioides","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3418","Vegetables","SQUASH","Zucchini/Courgette - Round","All Sizes","","","","C.pepo","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","","","","",""
"3419","Herbs","BORAGE","","All Sizes","","","","Borago officinalis","","","2004-11-01 00:00:00","2004-11-01 00:00:00"," ","http://check.ifpsglobal.com/file/view/3419-borage_1630599119.jpg","","","",""
"3420","Fruits","PEARS","Belle du Jumet","All Sizes ","","","","Pyrus spp.","Honey Belle","","2018-10-08 15:26:04","2014-01-29 00:00:00"," ","http://check.ifpsglobal.com/file/view/3420-belle-du-jumet-pear_1460403141.JPG","","","",""
"3421","Fruits","MELON","Watermelon - Mini Seedless","3-7 LBS","","","","Citrullus lanatus","","","2017-01-04 20:48:53","2003-08-05 00:00:00"," ","","","","",""
"3422","Fruits","APRICOTS","InterSpecific","All Sizes","","","A hybrid of apricot and plum varieties exhibiting more apricot-like characteristics.","Prunus armeniaca","","","2003-08-05 00:00:00","2003-08-05 00:00:00"," ","http://check.ifpsglobal.com/file/view/interspecific-apricot_1629313135.png","","","",""
"3423","Vegetables","TOMATOES","Heirloom ","All Sizes","","","","Lycopersicon esculenta","Varieties include but are not limited to: Amish Salad, Anna Russian, Aunt Ruby's Yellow Cherry, Big Italian Plum, Black Plum, Black Prince, Black Zebra, Brandywine, Dr. Caroline, Earl of Edgecomb, Eva Purple Ball, Flamme, Green Zebra, Hawaiian Pineapple","","2015-10-13 18:44:32","2003-08-05 00:00:00"," ","http://check.ifpsglobal.com/file/view/3423-tomatoes-heirloom-07_1616185704.jpg","","","",""
"3424","Vegetables","CARROTS","Purple/Red - Beta Sweet","All Sizes","","","","Daucus carota","","","2002-10-16 00:00:00","2002-10-16 00:00:00"," ","","","","",""
"3425","Fruits","TANGERINES/MANDARINS","Ellendale","Small","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2003-10-03 00:00:00","2003-10-03 00:00:00"," ","","","","",""
"3426","Fruits","TANGERINES/MANDARINS","Ellendale","Medium","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2003-10-03 00:00:00","2003-10-03 00:00:00"," ","","","","",""
"3427","Fruits","TANGERINES/MANDARINS","Ellendale","Large","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2003-10-03 00:00:00","2003-10-03 00:00:00"," ","","","","",""
"3428","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Small","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2003-10-03 00:00:00","2003-10-03 00:00:00"," ","http://check.ifpsglobal.com/file/view/murcott-mandarin-1629310772_1633456088.png","","","",""
"3429","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Medium","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2003-10-03 00:00:00","2003-10-03 00:00:00"," ","http://check.ifpsglobal.com/file/view/murcott-mandarin-1629310772_1633456154.png","","","",""
"3430","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Large","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2003-10-03 00:00:00","2003-10-03 00:00:00"," ","http://check.ifpsglobal.com/file/view/murcott-mandarin-1629310772_1633456245.png","","","",""
"3431","Fruits","TANGERINES/MANDARINS","Imperial","Small","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","","2003-10-03 00:00:00","2003-10-03 00:00:00"," ","","","","",""
